제대구분,발생일시,체계명,LRU명,고장유형,고장증상,수리시작시간,수리완료시간,정비조치내용,처리상태,등록일시
운용부대,2025-04-11 12:36:33,체계-B,LRU-010,기계적,구동축 마모로 인한 위치 오차 발생,2025-04-11 13:06:33,2025-04-11 16:07:20,기어 어셈블리 교환 후 백래시 조정,수리완료,2025-04-11 13:36:33
정비부대,2025-04-11 17:15:20,체계-B,LRU-009,전기적,주 전원 공급 장치 과열 경보 발생,2025-04-11 20:30:41,2025-04-12 16:44:33,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2025-04-11 17:57:20
운용부대,2025-04-16 00:56:22,체계-C,LRU-002,기계적,구동축 마모로 인한 위치 오차 발생,2025-04-16 01:26:22,,수리 진행 중,수리중,2025-04-16 01:13:22
창정비,2025-04-16 10:25:08,체계-C,LRU-004,기계적,체결 볼트 풀림으로 구조물 유격 발생,2025-04-16 10:55:08,2025-04-21 02:30:22,기어 어셈블리 교환 후 백래시 조정,수리완료,2025-04-16 11:07:08
운용부대,2025-04-17 20:59:14,체계-B,LRU-010,전기적,전원 인가 후 부팅 불가,2025-04-17 21:29:14,2025-04-18 00:19:31,퓨즈 및 보호 회로 교체,수리완료,2025-04-17 21:28:14
창정비,2025-04-27 09:26:28,체계-A,LRU-003,전기적,커넥터 접촉 불량으로 신호 단절,2025-04-27 13:25:05,2025-04-28 07:07:28,단락 부위 배선 재작업 및 절연 처리,수리완료,2025-04-27 09:38:28
정비부대,2025-04-27 23:02:53,체계-B,LRU-006,전기적,배선 단락으로 인한 퓨즈 소손,,,,미해결,2025-04-27 23:29:53
창정비,2025-04-28 04:12:11,체계-C,LRU-004,기계적,씰(seal) 파손으로 윤활유 누설,2025-04-28 05:19:01,,수리 진행 중,수리중,2025-04-28 04:56:11
운용부대,2025-05-04 01:56:36,체계-A,LRU-010,환경적,고온 환경 노출로 열 변형 발생,,,,미해결,2025-05-04 02:36:36
정비부대,2025-05-07 03:19:12,체계-B,LRU-008,소프트웨어,설정 파일 손상으로 초기화 반복,2025-05-07 03:49:12,2025-05-07 23:07:20,메모리 모듈 교체 후 소프트웨어 재설치,수리완료,2025-05-07 03:39:12
정비부대,2025-05-14 10:44:24,체계-C,LRU-007,기계적,하우징 균열로 방진 성능 저하,2025-05-14 11:14:24,2025-05-14 14:43:38,구동축 LRU 교환 후 영점 조정,수리완료,2025-05-14 10:51:24
정비부대,2025-05-17 20:35:39,체계-B,LRU-005,전기적,전원 인가 후 부팅 불가,2025-05-17 21:05:39,2025-05-18 14:10:42,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2025-05-17 21:27:39
창정비,2025-05-20 11:52:42,체계-C,LRU-009,전기적,전원 인가 후 부팅 불가,2025-05-20 13:17:57,2025-05-25 02:49:44,커넥터 핀 교체 및 접촉 저항 측정,수리완료,2025-05-20 12:19:42
정비부대,2025-05-25 04:35:15,체계-A,LRU-005,전기적,전원 인가 후 부팅 불가,2025-05-25 05:31:33,2025-05-25 10:51:17,퓨즈 및 보호 회로 교체,수리완료,2025-05-25 05:17:15
정비부대,2025-06-03 14:24:28,체계-C,LRU-002,소프트웨어,운영 소프트웨어 부팅 중 커널 패닉,,,,미해결,2025-06-03 15:06:28
운용부대,2025-06-07 12:03:34,체계-C,LRU-002,전기적,전원 인가 후 부팅 불가,2025-06-07 12:40:32,2025-06-07 18:25:59,단락 부위 배선 재작업 및 절연 처리,수리완료,2025-06-07 12:34:34
창정비,2025-06-13 19:39:45,체계-A,LRU-007,소프트웨어,운영 소프트웨어 부팅 중 커널 패닉,2025-06-13 20:25:40,2025-06-16 11:11:21,메모리 모듈 교체 후 소프트웨어 재설치,수리완료,2025-06-13 20:17:45
정비부대,2025-06-13 22:44:56,체계-A,LRU-008,소프트웨어,펌웨어 업데이트 후 인터페이스 불일치,2025-06-13 23:14:56,2025-06-14 05:11:39,메모리 모듈 교체 후 소프트웨어 재설치,수리완료,2025-06-13 23:16:56
운용부대,2025-06-21 15:02:40,체계-C,LRU-001,전기적,PCB 납땜 크랙으로 간헐적 오작동,2025-06-21 15:32:40,2025-06-21 20:27:01,퓨즈 및 보호 회로 교체,수리완료,2025-06-21 15:48:40
